response,1,2,3,4,5,6,7,8,9,10,11,12
A,109527,183883,182906,197140,199355,196710,198861,199223,198935,204540,190416,169546
B,98478,165533,89797,151057,155479,167497,180985,150575,173512,190439,172671,204402
C,101215,225144,142827,171698,173784,178173,243946,108885,244597,207617,235544,210342
D,75926,228305,159479,181964,242249,101805,194075,186117,256251,218666,240900,209360
E,90295,190389,260586,136210,92222,160357,256628,185924,158106,182301,174122,201561
F,102190,237368,260402,190887,88670,192461,197732,193184,170049,158679,104681,193028
G,103133,133737,160090,175703,141493,224335,170363,233285,189134,181300,212659,186612
H,105257,178573,190417,197050,193031,197467,187944,197604,196728,205199,180469,169914
