response,1,2,3,4,5,6,7,8,9,10,11,12
A,183,179,186,167,183,194,208,186,219,224,228,182
B,168,153,138,166,156,184,212,216,229,234,223,184
C,183,191,174,168,177,168,198,161,187,169,181,182
D,163,169,166,149,137,143,159,159,197,161,199,176
E,162,137,131,133,141,174,142,146,152,162,159,134
F,116,153,147,158,111,149,143,161,146,139,157,152
G,136,117,119,128,112,122,122,117,158,136,117,121
H,123,102,107,124,141,106,123,106,122,111,126,113
