response,1,2,3,4,5,6,7,8,9,10,11,12
A,95085,194185,199719,207623,211736,213328,202724,198652,200777,215367,187641,174929
B,85249,197785,150674,199046,200897,205294,210761,187076,206171,234039,194631,220004
C,90435,241637,193071,216916,212379,213057,250057,161301,251602,249167,239752,218850
D,68190,240398,203701,220667,249163,165200,224901,216374,259191,260122,249023,225705
E,81185,213490,270257,218117,156656,207502,252260,219516,206156,234284,201322,222570
F,89650,243373,260381,226958,157367,227884,228317,225917,212976,218176,151952,216670
G,91582,162817,191138,205672,182959,234858,197563,239132,216483,222195,211177,196156
H,91644,176479,195154,200910,195390,196982,175081,191151,201662,231124,179041,179120
